City (User location),Leads,Purhchases,Qualified Lead_All conv.,Unqualified Lead_All conv.,Cost,Purchase Value,CPL,CPA,leads 2 purchase,
Mandsaur,1,0,0,1,306.75,0,306.75,,0.00%,
Mangaluru,2,0,1,0,1881.61,0,940.805,,0.00%,
Maraimalai Nagar,1,0,0,0,329.46,0,329.46,,0.00%,
Margao,1,0,1,0,446.17,0,446.17,,0.00%,
Marwad,1,0,1,0,474.98,0,474.98,,0.00%,
Mathura,2,0,0,0,2028.7,0,1014.35,,0.00%,
Matigara,1,0,0,0,77.5,0,77.5,,0.00%,
Meerut,16,0,3,3,5498.45,0,343.653125,,0.00%,
Mehsana,2,0,0,1,968.47,0,484.235,,0.00%,
Midnapore,1,0,0,0,366.26,0,366.26,,0.00%,
Moga,1,0,0,0,699.78,0,699.78,,0.00%,
Mohanlalganj,1,0,0,1,47.92,0,47.92,,0.00%,
Moradabad,1,0,0,0,1345.58,0,1345.58,,0.00%,
Morena,2,0,0,0,469.05,0,234.525,,0.00%,
Mormugao,1,0,0,0,226.48,0,226.48,,0.00%,
Muzaffarnagar,3,0,0,1,1924.65,0,641.55,,0.00%,
Muzaffarpur,7,0,2,2,2332.29,0,333.184285714286,,0.00%,
Nadiad,2,0,0,0,863.1,0,431.55,,0.00%,
Nagaon,3,0,1,0,693.24,0,231.08,,0.00%,
Nagapattinam,1,0,0,0,455.38,0,455.38,,0.00%,
Nagpur,31,0,7,4,15755.3,0,508.235483870968,,0.00%,
Nainital,1,0,0,1,271.7,0,271.7,,0.00%,
Nala Sopara,3,0,0,1,1861.7,0,620.566666666667,,0.00%,
Nalgonda,1,0,0,0,884.73,0,884.73,,0.00%,
Nanded,3,0,0,1,1303.07,0,434.356666666667,,0.00%,
Nandurbar,1,0,0,0,135.76,0,135.76,,0.00%,
Narnaul,1,0,1,0,277.5,0,277.5,,0.00%,
Narsinghpur,1,0,0,0,139.89,0,139.89,,0.00%,
Nashik,13,0,3,1,9372.54,0,720.964615384615,,0.00%,
Navsari,1,0,0,0,779.68,0,779.68,,0.00%,
Nawada,1,0,0,1,173.39,0,173.39,,0.00%,
Nellore,3,0,1,0,1073.35,0,357.783333333333,,0.00%,
Nizamabad,3,0,0,0,939.97,0,313.323333333333,,0.00%,
Oddepalle,1,0,0,0,98.84,0,98.84,,0.00%,
Ongole,1,0,0,0,162.37,0,162.37,,0.00%,
Palakkad,2,0,0,0,2759.71,0,1379.855,,0.00%,
Palakollu,1,0,0,1,15.19,0,15.19,,0.00%,
Palghar,3,0,0,0,510.8,0,170.266666666667,,0.00%,
Pali,2,0,0,0,971.68,0,485.84,,0.00%,
Palwal,3,0,0,0,574.51,0,191.503333333333,,0.00%,
Pandharpur,1,0,0,0,144.13,0,144.13,,0.00%,
Pandithanahalli,1,0,0,0,130.36,0,130.36,,0.00%,
Panipat,15,0,2,2,3677.36,0,245.157333333333,,0.00%,
Panruti,1,0,1,0,13.72,0,13.72,,0.00%,
